productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
PRD001,Bluetooth Speaker,Office Supplies,1:4,InnovateX,Lightweight and compact for easy portability.,164,449.0,1021.57
PRD002,Smartphone Stand,Electronics,1:4,HyperGear,Lightweight and compact for easy portability.,387,134.12,226.21
PRD003,Smartwatch,Electronics,1:10,NanoElectronics,Enhanced for professional and personal use.,415,94.84,162.41
PRD004,Gaming Chair,Electronics,1:5,TechCorp,Built with premium materials for long-term use.,-32,183.0,307.3
PRD005,Gaming Keyboard,Electronics,1:4,FutureTech,Lightweight and compact for easy portability.,277,65.19,156.01
PRD006,Webcam,Wearable Tech,1:4,HyperGear,Enhanced for professional and personal use.,103,382.61,678.21
PRD007,USB-C Hub,Accessories,1:20,TechCorp,Lightweight and compact for easy portability.,434,208.52,280.78
PRD008,Fitness Tracker,Electronics,1:5,InnovateX,Built with premium materials for long-term use.,133,303.47,426.0
PRD009,Fitness Tracker,Electronics,1:10,InnovateX,Built with premium materials for long-term use.,184,245.03,391.2
PRD010,Laptop Cooling Pad,Accessories,1:4,FutureTech,Lightweight and compact for easy portability.,287,132.22,266.92
PRD011,Smartwatch,Wearable Tech,1:20,InnovateX,Designed for durability and performance.,115,184.89,435.87
PRD012,Gaming Chair,Electronics,1:4,NanoElectronics,Enhanced for professional and personal use.,464,483.87,1127.43
PRD013,USB-C Hub,Audio,1:2,GigaByte,Built with premium materials for long-term use.,145,341.17,428.35
PRD014,Laptop Cooling Pad,Audio,1:10,NanoElectronics,Designed for durability and performance.,41,116.01,154.62
PRD015,Mechanical Keyboard,Accessories,1:2,GigaByte,Designed for durability and performance.,475,7.21,12.22
PRD016,Wireless Mouse,Wearable Tech,1:4,HyperGear,Built with premium materials for long-term use.,165,130.15,261.88
PRD017,Wireless Mouse,Accessories,1:4,TechCorp,High-quality product with advanced features.,122,383.53,945.7
PRD018,Smartwatch,Wearable Tech,1:20,HyperGear,Built with premium materials for long-term use.,181,211.97,271.36
PRD019,Laptop Cooling Pad,Audio,1:20,InnovateX,Enhanced for professional and personal use.,175,404.77,589.08
PRD020,VR Headset,Audio,1:4,TechCorp,Lightweight and compact for easy portability.,381,339.34,845.23
PRD021,VR Headset,Electronics,1:10,HyperGear,Designed for durability and performance.,224,128.09,296.55
PRD022,Wireless Charger,Office Supplies,1:10,NanoElectronics,Lightweight and compact for easy portability.,478,205.08,417.15
PRD023,Graphics Tablet,Wearable Tech,1:4,GigaByte,High-quality product with advanced features.,272,300.95,536.62
PRD024,Wireless Mouse,Wearable Tech,1:4,FutureTech,Designed for durability and performance.,121,307.27,490.95
PRD025,External Hard Drive,Accessories,1:10,HyperGear,Designed for durability and performance.,88,409.74,591.11
PRD026,Bluetooth Speaker,Electronics,1:2,NanoElectronics,Enhanced for professional and personal use.,128,446.06,587.12
PRD027,Fitness Tracker,Gaming,1:20,TechCorp,Designed for durability and performance.,98,373.59,872.39
PRD028,USB-C Hub,Gaming,1:20,TechCorp,Lightweight and compact for easy portability.,128,314.45,749.29
